ID investigador,Fuente,ID autor Scopus,EID documento Scopus,Perfil en Google Scholar,ORCID id autor,DOI,Año,Título,Enlace al artículo,Autores,Fecha de publicación,Revista,Volumen,Número,Páginas,Editor,Resumen,Citas totales,Institución,Conferencia,Libro,Origen,Nombre Investigador,Inventores,Oficina de patentes,Número de patente,Número de solicitud
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:Wp0gIr-vW9MC,,,,An Affective-Motivational Interface for a Pedagogical Agent,https://www.scirp.org/html/40856.html,"Martha Mora-Torres, Ana Lilia Laureano-Cruces, Fernando Gamboa-Rodríguez, Javier Ramírez-Rodríguez, Lourdes Sánchez-Guerrero",17/12/2013,International Journal of Intelligence Science,4,01,17,Scientific Research Publishing,"This research is framed within the affective computing, which explains the importance of emotions in human cognition (decision making, perception, interaction and human intelligence). Applying this approach to a pedagogical agent is an essential part to enhance the effectiveness of the teaching-learning process of an intelligent learning system. This work focuses on the design of the inference engine that will give life to the interface, where the latter is represented by a pedagogical agent. The inference engine is based on an affective-motivational model. This model is implemented by using artificial intelligence technique called fuzzy cognitive maps.",Citado por 21,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:Se3iqnhoufwC,,,,Implementation of an affective-motivational architecture tied to a teaching-learning process,http://kali.azc.uam.mx/clc/02_publicaciones/material/AffectArchImplTeacLear_10.pdf,"Ana Laureano-Cruces, Martha Mora-Torres, Javier Ramírez-Rodríguez, Fernando Gamboa-Rodríguez",18/10/2010,,,,1930-1938,Association for the Advancement of Computing in Education (AACE),"This project implements an affective-motivational structure tied to a teaching-learning process. The implementation is accomplished through the artificial intelligence technique known as fuzzy cognitive maps. The theories on which the structure is based are the emotional theory of the authors, Ortony, Clore, and Collins, better known as the OCC theory; and motivational theory. The project’s contribution is in the area of affective computing, a branch of artificial intelligence.",Citado por 21,,eLearn: World Conference on EdTech,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:j3f4tGmQtD8C,,,,Cognitive and affective interaction in a pedagogical agent,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=2184a4a22c692b73fd12182759d4a7441e5a2c22,"A Laureano-Cruces, A Teran-Gilmore, RM Rodriguez-Aguilar",2005/10,Memorias del XVIII Congreso Nacional y IV Congreso Internacional de Informática y Computación de la ANIEI,2628,,,,"The use of pedagogical agents in intelligent systems applied to education is acquiring more relevance with each passing day. This paper introduces a pedagogical agent that forms part of the interface used by an intelligent learning system. The agent handles two types of interventions: cognitive and affective. The cognitive strategies are established from the different errors that a student can make within the specific domain of the system. In the case of the affective tactics, the objectives are keeping the student from feeling alone and motivating the student to stay logged on to the system, in such way that the time spent within the system is productive to the teaching-learning process. The inference mechanism for both types of interventions is discussed in detail. In summary, this mechanism is based in a conceptual framework that allows the extraction of the student’s emotions through the evaluation of the cognitive process in the specific domain.",Citado por 20,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:RYcK_YlVTxYC,,,,Behavioral design to model a reactive decision of an expert in geothermal wells,https://www.sciencedirect.com/science/article/pii/S0888613X04000817/pdf?md5=de8ea59820f4898a02dbe568cb9c7fea&pid=1-s2.0-S0888613X04000817-main.pdf&_valck=1,"Ana Lilia Laureano-Cruces, Gilberto Espinosa-Paredes",01/04/2005,International Journal of approximate reasoning,39,1,ene-28,Elsevier,"Software design based on agents represents a new perspective for computer science and more specifically, for Artificial Intelligence. It is a new theory that has innovated the analysis, design and implementation of system software. The design of agents poses problems related with: (1) autonomous decision-making process, (2) co-ordination, (3) negotiation, and (4) handling of mental states and communication. In a reactive multi-agent system, the group of agents is subject continually to local changes. These changes are designed by means of behavior rules whose results are influenced by the behavior of the rest of the agents. The design of these rules is inspired by the biological or cognitive sciences. Particularly, the design of cognitive rules corresponds with the principle of rationality; its perspective is focused on the interaction among the agents. One of the objectives of artificial intelligence refers to the …",Citado por 20,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:a0OBvERweLwC,,,,A reactive behavior agent: Including emotions into a video game,https://www.scielo.org.mx/pdf/jart/v10n5/v10n5a1.pdf,"AL Laureano-Cruces, DA Acevedo-Moreno, M Mora-Torres, J Ramírez-Rodríguez",2012/10,Journal of applied research and technology,10,5,651-672,"UNAM, Centro de Ciencias Aplicadas y Desarrollo Tecnológico","Why we have emotions and how they influence human behavior are two questions we constantly ask ourselves. According to researchers in the field, there are two kinds of information that the person receives to make a decision. This information is integrated to generate a whole. One comes from ourselves it is proprioceptive and refers to emotions; the other one is external, it comes from the environment. Thus, emotions are immersed in different areas of a person's life, including social, functional, and cognitive aspects. It has an important role in the decision-making process. It is on this last point that this paper focuses its approach, which consists of including a cognitive structure of emotions in a reactive behavior in order to enrich behavior, including the information generated through internal evaluation of the external physical stimuli. Our work is based on the OCC theory (named after the name of its authors: Ortony, Collins and Clore). This theory proposes that a decision-making process is affected through different perspectives: a) goals and events, b) agents and their actions, and c) objects and their capacity for attraction. The case study is situated within a scenario that represents an approach that seeks to include a module of emotions within the design of the architecture of a videogame.",Citado por 19,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:ZeXyd9-uunAC,,,,Diseño de agentes pedagógicos a partir de los estilos de aprendizaje; una perspectiva a través del color,,"Perla Velasco-Santos, Ana Lilia Laureano Cruces, Marta Mora Torres, Miguel Ángel Herrera Bautista",2010/10,CONGRESO MUNDIAL DE ESTILOS DE APRENDIZAJE,4,,27-29,,,Citado por 18,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:pqnbT2bcN3wC,,,,La importancia de las estrategias cognitivas en el diseño del currícula didáctico,,"A Laureano-Cruces, A Terán-Gilmore, F De Arriaga, M El Alami",2003,Memorias del XVI Congreso Nacional y II Congreso Internacional de Informática y Computación de la ANIEI,,,22-24,,,Citado por 18,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:GnPB-g6toBAC,,,,A learning model based on a didactic cognitive approach: The case of single‐degree‐of‐freedom systems,https://onlinelibrary.wiley.com/doi/pdf/10.1002/cae.20013,"Ana Lilia Laureano‐Cruces, Amador Terán‐Gilmore, Fernando de Arriaga",2004,Computer Applications in Engineering Education,12,3,152-164,"Wiley Subscription Services, Inc., A Wiley Company","Aiding the acquisition of cognitive abilities is an important issue within the teaching–learning process. The student should not only control his/her own learning process, but also the way he/she does it. One of the new developments in education, focused on achieving those goals, is the use of tools, models, and techniques derived from cognitive psychology to improve the design of course “curricula” within a specific knowledge domain. The paper presents a learning model that focuses on a specific topic, and uses a cognitive approach for building human expert mental models and schemes, partially based on the concepts of Forbus' qualitative theory. Regarding the didactic approach, the authors' experience is taken into account within a “student centered” learning approach, in which training or learning systems have a great significance. All these elements are integrated in the formulation of an intelligent learning …",Citado por 17,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:ufrVoPGSRksC,,,,Learning objects and personalized instruction,,"Ana Lilia Laureano-Cruces, Lourdes Sánchez-Guerrero, Martha Mora-Torres, Javier Ramírez-Rodríguez",17/11/2008,,,,1728-1736,Association for the Advancement of Computing in Education (AACE),"This paper describes the analysis and design of learning objects including personalized instruction. The above is based on the inclusion of artificial intelligence techniques via intelligent learning systems. In this case, the intelligent learning system becomes immersed in the learning object and one of its classifications is personalized learning. The sphere of application selected is that of structured programming. This paper is inspired by the fast-paced development of new technologies and their inclusion in different applications for the purpose of maximizing progress.",Citado por 15,,"E-Learn: World Conference on E-Learning in Corporate, Government, Healthcare, and Higher Education",,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&citation_for_view=p_cV2NAAAAAJ:HDshCWvjkbEC,,,,A cognitive model for the red baron: a perspective taking into account emotions,https://www.researchgate.net/profile/Ashraf-Aboshosha/publication/283475802_AIML-Volume11-Issue2-A4-P1121545418/links/56399c9608ae2da875c7ab1a/AIML-Volume11-Issue2-A4-P1121545418.pdf#page=9,"Ana Lilia Laureano-Cruces, Carlos Guadarrama-Ponce, Martha Mora-Torres, Javier Ramírez-Rodríguez",2011/12,ICGST-Artificial Intelligence Machine Learning Journal,11,2,may-13,,"Emotions play an important role in the decision making process, as coherent behavior is impossible if they are not considered as a basic element in that process. In this paper we develop a cognitive model that takes into consideration the emotions of a fighter pilot and how they relate to specific behavioral actions of the Red Baron in combat situations. To accomplish this we follow a procedure in order to get a cognitive model. We implement a cognitive structure of emotions based on the theory of Ortony, Clore, and Collins, in order to create the emotional model. Finally, the two models, cognitive and emotional, are combined in a single model, which we will call the EmoCog model. In the last part, we present a representation of knowledge using fuzzy cognitive maps. This representation permits a validation of the EmoCog model, using hypothetical scenarios that simulate the Red Baron’s behavior in combat situations. The principal goal is get a model that can include emotions like part of the environment evaluation. Later make possible the inclusion of emotions in the decision making-process.",Citado por 14,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&cstart=20&pagesize=80&citation_for_view=p_cV2NAAAAAJ:hqOjcs7Dif8C,,,,Agents control in intelligent learning systems: The case of reactive characteristics,https://www.tandfonline.com/doi/pdf/10.1080/10494820600769049,"Ana Lilia Laureano-Cruces, Javier Ramírez-Rodríguez, Fernando de Arriaga, Rafael Escarela-Pérez",01/08/2006,Interactive Learning Environments,14,2,95-118,Routledge,"Intelligent learning systems (ILSs) have evolved in the last few years basically because of influences received from multi-agent architectures (MAs). Conflict resolution among agents has been a very important problem for multi-agent systems, with specific features in the case of ILSs. The literature shows that ILSs with cognitive or pedagogical agents are prone to arbitration methods, where as ILSs with reactive agents are much in favor of control mechanisms. For these kind of systems, different control types are proposed based on the different stimuli that these agents will receive. These stimuli are aspects to be evaluated during the teaching/learning process such as: (1) error analysis, (2) learning styles, (3) analogies, (4) social aspects, etc.",Citado por 14,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&cstart=20&pagesize=80&citation_for_view=p_cV2NAAAAAJ:TQgYirikUcIC,,,,Agentes pedagógicos,http://kali.azc.uam.mx/clc/04_proyecto_de_inv/comp_suave/AgentesPedagogicosANIEI04.pdf,A Laureano-Cruces,2004/10,Memorias del XVII Congreso Nacional y III Congreso Internacional de Informática y Computación de la ANIEI,,,20-22,,"Una corriente que cobra cada día más fuerza es la utilización de agentes pedagógicos como parte de los sistemas inteligentes aplicados a la educación. Estos agentes representan intervenciones amenas durante el proceso de enseñanza–aprendizaje. Estos agentes pueden intervenir con consejos, tácticas didácticas, introducciones e inclusive llamadas de atención. Este trabajo muestra el diseño de los distintos comportamientos y la relación que existe entre ellos y las distintas intervenciones del sistema tutorial aplicadas a un caso práctico. Los beneficios que reporta el utilizar estos agentes pedagógicos al entorno educativo son: 1) cuidan el progreso del estudiante y convencen al estudiante que están en ello juntos, 2) son sensibles al progreso del estudiante por lo que son capaces de intervenir cuando el estudiante pierde interés o está frustrado, 3) pueden ser emotivos y entusiasmar al usuario con distintos niveles similares al humano, 4) un agente con una rica e interesante personalidad pude simplemente hacer el aprendizaje más divertido.",Citado por 14,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&cstart=20&pagesize=80&citation_for_view=p_cV2NAAAAAJ:YsMSGLbcyi4C,,,,Operative strategies related to an affective-motivational architecture to achieve instructional objectives,,"AL Laureano-Cruces, M Mora-Torres, J Ramírez-Rodríguez, Fernando de Arriaga-Gómez",2011/12,ICGST-Artificial Intelligence Machine Learning Journal,11,2,15-20,,,Citado por 13,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&cstart=20&pagesize=80&citation_for_view=p_cV2NAAAAAJ:xtRiw3GOFMkC,,,,Analysis and design of the knowledge representation for the implementation of a distributed reasoning,https://revistas.ucr.ac.cr/index.php/matematica/article/download/306/286/,"Martha Mora-Torres, Ana Lilia Laureano-Cruces, Javier Ramírez-Rodríguez, Gilberto Espinosa-Paredes",01/08/2009,Revista de Matemática: Teoría y Aplicaciones,16,2,267-281,,"La representación del conocimiento y el razonamiento forma parte fundamental del diseño del sistema experto. En el caso de estudio, el mundo real está representado porlos distintos eventos que se pueden manifestar en la operación de la planta nuclear. Dichos eventos se caracterizan por un conjunto de elementos interrelacionados a través del razonamiento experto. Hemos elegido los mapas cognoscitivos difusos (MCD) para la representación del razonamiento experto frente a un evento de falla, debido a que éstos, logran manejar la incertidumbre en la toma de decisiones, a través de la interrelación de sus elementos, además de potenciar el razonamiento distribuido paralelo (RPD). En este trabajo se detalla el análisis y diseño de las matrices causales que dan origen al razonamiento distribuido, y que finalmente tienen una representación en los MCD.",Citado por 13,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&cstart=20&pagesize=80&citation_for_view=p_cV2NAAAAAJ:RHpTSmoSYBkC,,,,Maze Videogame that Adapts to the User’s Emotions According to his Behavior,,"AL Laureano-Cruces, E Hegmann-González",2011,ICGST-Artificial Intelligence Machine Learning Journal,11,2,21-25,,,Citado por 12,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&cstart=20&pagesize=80&citation_for_view=p_cV2NAAAAAJ:maZDTaKrznsC,,,,Un diseño de interfaz: tomando en cuenta los estilos de aprendizaje,http://kali.azc.uam.mx/clc/02_publicaciones/material/InterfazYColor.pdf,"Perla Velasco-Santos, Lourdes Sánchez-Guerrero, A Laureano-Cruces, Martha Mora-Torres",21/10/2009,XXII Congreso Nacional y VIII Congreso Internacional de Informática y Computación de la ANIEI. Obtenido de http://kali. azc. uam. mx/clc/02_publicaciones/material/InterfazYColor. pdf,,,,,"La percepción del color, por los individuos, y sus repercusiones a niveles sensorial y psicológico, son indiscutibles; los colores son capaces de provocar o modificar estados de ánimo y esto lo saben bien tanto arquitectos, decoradores, publicistas, diseñadores y demás creativos que, de acuerdo a los atributos únicos de cada color logran impactar a los espectadores o usuarios, al crear sensaciones y ambientes, vestir productos, etc.¿ Porqué no usar esta característica para potencializar el proceso de aprendizaje? En este artículo se presenta una propuesta de combinaciones de colores para cada uno de los tipos de aprendizaje tomando en cuenta el tipo de inteligencia predominante en el usuario, aplicados todos ellos a un Sistema de Aprendizaje Inteligente. Estos elementos constituyen una de los tres componentes básicos para crear una interfaz.",Citado por 11,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
INV0001,Google Scholar,,,https://scholar.google.com/citations?view_op=view_citation&hl=es&user=p_cV2NAAAAAJ&cstart=20&pagesize=80&citation_for_view=p_cV2NAAAAAJ:isC4tDSrTZIC,,,,Hacia interfaces inteligentes,,"AL Laureano-Cruces, P Velasco-Santos, M Mora-Torres, D Acevedo-Moreno",2009,"En el Libro Científico: Avances de las Mujeres en las Ciencias, las Humanidades y todas las disciplinas. Sustentabilidad, Aire, Agua, Fuego y Tierra",,,237-246,,,Citado por 11,,,,,Dra. Ana Lilia Concepción Laureano Cruces,,,,
